how_old_are_you,industry,job_title,annual_salary,currency,country,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,race
35-44,Education (Higher Education),Associate Director,63000,USD,United States,Texas,El Paso,11 - 20 years,8 - 10 years,NA,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Education (Higher Education),Librarian,52500,USD,U.S.,North Carolina,Research Triangle region,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Media & Digital,UX designer,36000,EUR,France,NA,Lyon,2 - 4 years,2 - 4 years,Master's degree,Woman,White
25-34,"Accounting, Banking & Finance",Lead business controls specialist,94000,USD,Usa,Illinois,Chicago,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Engineering or Manufacturing,Product Engineer,57000,USD,USA,Washington,Seattle,5-7 years,5-7 years,College degree,Woman,White
35-44,Computing or Tech,Senior Technical Writer,83000,USD,United States,California,San Diego,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Nonprofits,Senior Director,90000,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Hospitality & Events,Hotel Sales Manager,66950,USD,USA,Indiana,Indianapolis,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Government and Public Administration,Planner,76000,USD,USA,California,Merced,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
25-34,Engineering or Manufacturing,Principal Engineer,52000,GBP,UK,NA,Aberdeen,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Nonprofits,Information and Program Manager,70000,USD,United States,Pennsylvania,Pittsburgh,8 - 10 years,5-7 years,Master's degree,Woman,White
25-34,Education (Higher Education),Assistant Professor,60000,USD,USA,NA,Birmingham,2 - 4 years,2 - 4 years,PhD,Non-binary,White
35-44,Engineering or Manufacturing,Media and PR,80000,USD,United States,Nebraska,Omaha,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Nonprofits,Technical assistance provider,70000,USD,US,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Education (Higher Education),Library Specialist,34299,USD,US,Maine,Gorham/Portland,8 - 10 years,2 - 4 years,Master's degree,Woman,White
25-34,Computing or Tech,Strategic Operations and Programme Manager,90000,GBP,United Kingdom,NA,London,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Education (Higher Education),"Assistant Director, Student Affairs",50000,USD,US,New York,Westchester/NYC,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Hospitality & Events,Director of Client Services,85000,USD,United States,New York,New York City,11 - 20 years,5-7 years,College degree,Woman,White
35-44,Retail,Loss prevention manager,87000,USD,US,California,San Jose,8 - 10 years,2 - 4 years,High School,Woman,White
35-44,Law,Associate Attorney,125000,USD,United States,District of Columbia,"Washington, DC",11 - 20 years,2 - 4 years,Master's degree,Woman,White
35-44,Commercial Real Estate,Administrative Associate,55000,USD,United States,Texas,Dallas,11 - 20 years,5-7 years,Some college,Woman,White
55-64,Law,Attorney,275000,USD,United States,Minnesota,Minneapolis,31 - 40 years,31 - 40 years,Master's degree,Woman,White
25-34,Pet care industry (dog training/walking),Operations Manager,48500,USD,USA,Massachusetts,Boston,5-7 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Engineering or Manufacturing,Software engineer,139000,USD,United states,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Law,Paralegal / Legal Assistant,54080,USD,United States,Michigan,Grandville,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Insurance,Manager & Actuary,170000,USD,USA,NA,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,"Marketing, Advertising & PR",Marketing Manager,60000,CAD,Canada,NA,Remote Worker,8 - 10 years,8 - 10 years,College degree,Woman,White
45-54,Education (Primary/Secondary),Librarian,70000,USD,USA,Texas,Houston,21 - 30 years,11 - 20 years,Master's degree,Man,White
25-34,Nonprofits,Communications Associate,53000,USD,United States,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Health care,Cytotechnologist,82160,USD,United States,Wisconsin,Eau Claire,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Recruitment or HR,Onboarding Partner,71000,USD,United states,New York,buffalo,11 - 20 years,2 - 4 years,College degree,Woman,White
18-24,Engineering or Manufacturing,Graduate Research Assitant,25700,USD,USA,Indiana,West Lafayette,5-7 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Politics,Deputy C-level,105000,USD,United States,NA,"Washington, DC",8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Education (Higher Education),"Librarian, non-supervisory",77000,USD,United States,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Health care,Content Strategist,50000,USD,USA,Arizona,Phoenix,11 - 20 years,5-7 years,Master's degree,Woman,White
25-34,University administration,Programme Administrator,25217,GBP,Scotland,NA,Glasgow,5-7 years,5-7 years,College degree,Woman,White
25-34,Government and Public Administration,Public Service Tech,31616,USD,USA,Georgia,Too identifiable,5-7 years,2 - 4 years,College degree,Non-binary,White
35-44,Government and Public Administration,EOS,95000,USD,USA,New York,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White
18-24,Business or Consulting,Data Analyst,62000,USD,United States,Massachusetts,Braintree,1 year or less,1 year or less,College degree,Woman,White
35-44,Animal Health Product Manufacturing,Sr Associate - Quality Assurance,75000,USD,United States,Indiana,Clinton,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Education (Primary/Secondary),High school teacher,71000,USD,United States,New York,New York,5-7 years,5-7 years,College degree,Non-binary,White
45-54,Computing or Tech,Business Analyst,88000,USD,USA,North Carolina,Raleigh,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Property or Construction,Assistant to Property Managers,31500,USD,United States,South Carolina,Columbia,8 - 10 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
25-34,Health care,IT Training Specialist,76000,USD,USA,Massachusetts,Woburn,5-7 years,2 - 4 years,Master's degree,Woman,White
35-44,Health care,Principal Statistical Programmer,165000,USD,USA,Massachusetts,Boston,21 - 30 years,21 - 30 years,College degree,Non-binary,White
25-34,"Accounting, Banking & Finance",Reporting Analyst,45760,USD,United States,California,Anaheim,11 - 20 years,2 - 4 years,Some college,Woman,"Hispanic, Latino, or Spanish origin"
25-34,"Marketing, Advertising & PR",Communications Manager,86000,USD,United States,Florida,Orlando,5-7 years,5-7 years,College degree,Woman,White
25-34,Engineering or Manufacturing,Project Manager,78240,CAD,Canada,NA,Calgary,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Education (Higher Education),Admissions Advisor,56000,USD,United States,Wisconsin,Appleton,8 - 10 years,5-7 years,Master's degree,Woman,White
35-44,Sales,Sales support,23050,GBP,England,NA,London,11 - 20 years,8 - 10 years,NA,Woman,White
25-34,Educational Technology - hybrid between book publishing and technology really,Business Development Specialist,67000,USD,United States,Minnesota,Bloomington,8 - 10 years,2 - 4 years,College degree,Woman,White
25-34,Law,Associate,125000,USD,United states,Tennessee,Chattanooga,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Property or Construction,Assistant Project Manager,55000,USD,USA,Florida,Jacksonville,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Computing or Tech,Supply chain manager,125000,USD,United States,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Health care,RN,60000,USD,United States,Tennessee,Memphis,8 - 10 years,2 - 4 years,College degree,Woman,White
25-34,Law,Associate,190000,USD,USA,Massachusetts,Boston,1 year or less,1 year or less,Master's degree,Woman,White
45-54,Utilities & Telecommunications,Land Analyst,60320,USD,USA,Pennsylvania,Pittsburgh,21 - 30 years,8 - 10 years,Some college,Woman,White
35-44,Pharmaceuticals,Regulatory affairs manager,125000,USD,United States,North Carolina,Durham,5-7 years,2 - 4 years,PhD,Woman,White
45-54,Education (Primary/Secondary),teacher,94000,USD,United States,Connecticut,Stamford,21 - 30 years,21 - 30 years,PhD,Woman,White
25-34,Health care,NP-PHC,98000,CAD,Canada,NA,Rural Ontario,8 - 10 years,2 - 4 years,Master's degree,Woman,White
35-44,Government and Public Administration,Administrative Assistant,49000,USD,United States,Oregon,Newport,11 - 20 years,11 - 20 years,Some college,Woman,White
35-44,Nonprofits,Director of Development,120000,USD,United States of America,California,Los Angeles,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Education (Higher Education),Teaching Assistant,28000,USD,United States,New Jersey,New Brunswick,2 - 4 years,2 - 4 years,Master's degree,Non-binary,White
55-64,Recruitment or HR,Consultant,135000,USD,United States,Illinois,"Chicago area mostly, but also the US and Canada",31 - 40 years,31 - 40 years,College degree,Woman,White
35-44,Education (Higher Education),Advancement Accounting Assistant,40575,USD,USA,Washington,Spokane,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Nonprofits,Senior monitoring & evaluation adviser,75500,USD,US,North Carolina,Durham,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,"Marketing, Advertising & PR",Copy supervisor,115000,USD,US,Pennsylvania,Philadelphia,5-7 years,5-7 years,College degree,Woman,White
35-44,Government and Public Administration,Policy analyst,70000,USD,USA,Massachusetts,Greater Boston area,8 - 10 years,5-7 years,Master's degree,Woman,White
25-34,Computing or Tech,Visual Designer,110000,USD,United States,Illinois,Chicago (remote),5-7 years,5-7 years,College degree,Woman,White
18-24,Agriculture or Forestry,Engineering Student Trainee,29000,USD,US,South Dakota,Rapid City,1 year or less,1 year or less,Some college,Woman,White
55-64,"Marketing, Advertising & PR",Graphic Designer,61000,USD,USA,Illinois,Mount Prospect,31 - 40 years,31 - 40 years,College degree,Woman,White
55-64,Nonprofits,Information Technology Specialist,47250,USD,USA,West Virginia,"Huntington (remote, HQ is in Charleston)",11 - 20 years,5-7 years,Master's degree,Woman,White
35-44,Engineering or Manufacturing,Sr. Piping Designer,96000,USD,USA,Minnesota,St. Paul,11 - 20 years,11 - 20 years,Some college,Man,White
35-44,Computing or Tech,Network Managet,260000,EUR,Germany,NA,Düsseldorf,21 - 30 years,11 - 20 years,High School,Non-binary,White
35-44,Nonprofits,Digital Marketing Specialist,45000,USD,United States,Pennsylvania,Scranton,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Philanthropy,Senior Program Support Associate,72000,USD,United States,District of Columbia,Washington,2 - 4 years,2 - 4 years,Master's degree,Woman,White
25-34,Government and Public Administration,Editor,78167,USD,United States,District of Columbia,"Washington, DC",5-7 years,5-7 years,Master's degree,Woman,White
25-34,"Accounting, Banking & Finance",Senior Operations Manager,132500,USD,United States,New York,New York City,8 - 10 years,8 - 10 years,College degree,Woman,White
45-54,Computing or Tech,"IT Manager, Financial Systems",124000,USD,US,Tennessee,Remote,21 - 30 years,21 - 30 years,Master's degree,Woman,White
45-54,"Marketing, Advertising & PR",Sr Analytic Consultant,108000,USD,USA,Minnesota,Minneapolis,21 - 30 years,21 - 30 years,College degree,Man,White
35-44,"Accounting, Banking & Finance",Principal Consultant,110000,USD,US,North Carolina,Charlotte,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Education (Higher Education),"Assistant director, communications",83000,USD,United States,Arizona,Flagstaff,11 - 20 years,5-7 years,Master's degree,Woman,White
25-34,Engineering or Manufacturing,Geostructural Design Engineer,110000,USD,USA,NA,Philadelphia,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Education (Higher Education),Student Success Center Coordinator,45000,USD,United States,Illinois,Carlinville,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Government and Public Administration,Editor,91000,USD,United States,District of Columbia,Washington,11 - 20 years,5-7 years,PhD,Woman,White
35-44,Engineering or Manufacturing,QC Chemistry Manager,117000,USD,USA,Minnesota,Chaska,11 - 20 years,11 - 20 years,Master's degree,Woman,White
45-54,Insurance,Supervisor,59000,USD,USA,NA,"Omaha, NE",21 - 30 years,21 - 30 years,Some college,Woman,White
35-44,Education (Higher Education),Research administrator,71697,USD,USA,Pennsylvania,Philadelphia,8 - 10 years,5-7 years,Master's degree,Woman,White
45-54,Real Estate,Senior Property Manager,90000,USD,United States,California,Sacramento,31 - 40 years,21 - 30 years,Some college,Woman,White
35-44,Education (Higher Education),Director of Alumni Communications,120000,USD,USA,Massachusetts,Western Mass,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Education (Higher Education),Admin Assistant,52000,USD,USA,New York,New York,5-7 years,5-7 years,Master's degree,Non-binary,"Hispanic, Latino, or Spanish origin"
25-34,Property or Construction,Administrator,61500,CAD,Canada,NA,Calgary,8 - 10 years,8 - 10 years,Some college,Woman,White
35-44,Transport or Logistics,Executive Administrator,80000,USD,USA,New York,New York,21 - 30 years,21 - 30 years,High School,Woman,White
25-34,Transport or Logistics,HR Business Partner,56000,USD,United States,Illinois,Joliet,8 - 10 years,5-7 years,Some college,Woman,White
45-54,Engineering or Manufacturing,Product Support Representative,47840,USD,USA,California,Shingle Springs,21 - 30 years,21 - 30 years,College degree,Man,"Asian or Asian American, White"
45-54,Consulting,Senior Hazard Mitigation Manager,150000,USD,US,Florida,Plant City,21 - 30 years,11 - 20 years,Master's degree,Woman,White
45-54,Computing or Tech,Senior Manager of Customer Enablement,150000,USD,United States,Massachusetts,Boston,21 - 30 years,21 - 30 years,Master's degree,Woman,White
45-54,Environmental Consulting,Senior Consultant,105000,USD,United States,Georgia,Atlanta,21 - 30 years,21 - 30 years,PhD,Woman,White
25-34,"Accounting, Banking & Finance",Equity Analyst,100000,USD,United States,New York,NYC,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
35-44,Engineering or Manufacturing,Project Manager-Tech Lead,97500,USD,USA,Illinois,Lisle,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American
25-34,"Accounting, Banking & Finance",Operations,100000,USD,US,Texas,Dallas,5-7 years,5-7 years,College degree,Man,White
45-54,Health care,Senior Project Specialist,125000,USD,United States,Massachusetts,Salem,21 - 30 years,8 - 10 years,College degree,Woman,White
35-44,Government and Public Administration,Public Library Director,63000,USD,USA,Wisconsin,Platteville,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Sales,Business Development Manager,50000,GBP,United Kingdom,NA,Remote (live in Nottingham),8 - 10 years,5-7 years,College degree,Woman,White
35-44,Archaeology / Cultural Resource Management,Principal Investigator,79000,USD,USA,Colorado,Denver,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Museum,Museum Technician,52000,USD,United States,Maryland,Suitland,5-7 years,2 - 4 years,Master's degree,Man,White
25-34,Government and Public Administration,Economist,109000,USD,U.S.,Maryland,Suitland,5-7 years,5-7 years,Master's degree,Woman,White
45-54,Education (Higher Education),Associate professor,54000,GBP,UK,NA,London,21 - 30 years,21 - 30 years,PhD,Woman,White
45-54,Media & Digital,editor,120000,USD,USA,Georgia,Atlanta,21 - 30 years,21 - 30 years,Master's degree,Woman,Black or African American
25-34,Education (Higher Education),HR Adviser,40613,GBP,United Kingdom,NA,London,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Public library,Managing Librarian,70000,USD,United States,New York,New York,11 - 20 years,5-7 years,Master's degree,Woman,White
35-44,Biotech,"Manager of cGMP Manufacturing, QA, and QC",110000,USD,USA,Maryland,Rockville,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Education (Higher Education),Event Officer,58000,CAD,Canada,NA,Winnipeg,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Government and Public Administration,Office Administrator,58000,CAD,Canada,NA,Toronto,8 - 10 years,5-7 years,Some college,Woman,White
18-24,"Accounting, Banking & Finance",Accountant,45000,USD,United States,Indiana,Indianapolis,1 year or less,1 year or less,College degree,Woman,White
35-44,Government and Public Administration,Senior Director of Public Policy,70000,USD,united states,Massachusetts,Boston,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Recruitment or HR,Talent Management Manager,115000,USD,USA,Massachusetts,Boston,5-7 years,5-7 years,College degree,Man,White
25-34,Transport or Logistics,Internal Communications Executive,32640,EUR,Ireland,NA,Dublin,2 - 4 years,2 - 4 years,Master's degree,Woman,White
