stockname,timestamp,open,high,low,close,volume
OSIS,2024-12-24,NA,NA,NA,NA,NA
OSIS,2024-12-26,NA,NA,NA,NA,NA
OSIS,2024-12-27,NA,NA,NA,NA,NA
OSIS,2024-12-30,NA,NA,NA,NA,NA
OSIS,2024-12-31,NA,NA,NA,NA,NA
OUT,2024-12-16,NA,NA,NA,NA,NA
OUT,2024-12-17,NA,NA,NA,NA,NA
OUT,2024-12-18,NA,NA,NA,NA,NA
OUT,2024-12-19,NA,NA,NA,NA,NA
OUT,2024-12-20,NA,NA,NA,NA,NA
OUT,2024-12-23,NA,NA,NA,NA,NA
OUT,2024-12-24,NA,NA,NA,NA,NA
OUT,2024-12-26,NA,NA,NA,NA,NA
OUT,2024-12-27,NA,NA,NA,NA,NA
OUT,2024-12-28,17.99,17.99,17.99,17.99,NA
OUT,2024-12-30,NA,NA,NA,NA,NA
OUT,2024-12-31,NA,NA,NA,NA,NA
OXY,2024-12-14,47.63966470588235,47.644958823529414,47.634323529411766,47.64035,NA
OXY,2024-12-16,NA,NA,NA,NA,NA
OXY,2024-12-17,NA,NA,NA,NA,NA
OXY,2024-12-18,NA,NA,NA,NA,NA
OXY,2024-12-19,NA,NA,NA,NA,NA
OXY,2024-12-20,NA,NA,NA,NA,NA
OXY,2024-12-23,NA,NA,NA,NA,NA
OXY,2024-12-24,NA,NA,NA,NA,NA
OXY,2024-12-26,NA,NA,NA,NA,NA
OXY,2024-12-27,NA,NA,NA,NA,NA
OXY,2024-12-28,48.66613181818182,48.676443181818186,48.65655681818182,48.66574090909091,NA
OXY,2024-12-30,48.726647078578004,48.745352804220225,48.70945854061783,48.72821339527987,NA
OXY,2024-12-31,49.152539741950726,49.16619263907242,49.13866457968007,49.15269300625223,NA
PARA,2024-12-14,11.27,11.27,11.27,11.27,NA
PARA,2024-12-16,NA,NA,NA,NA,NA
PARA,2024-12-17,NA,NA,NA,NA,NA
PARA,2024-12-18,NA,NA,NA,NA,NA
PARA,2024-12-19,NA,NA,NA,NA,NA
PARA,2024-12-20,NA,NA,NA,NA,NA
PARA,2024-12-23,NA,NA,NA,NA,NA
PARA,2024-12-24,NA,NA,NA,NA,NA
PARA,2024-12-26,NA,NA,NA,NA,NA
PARA,2024-12-27,NA,NA,NA,NA,NA
PARA,2024-12-28,10.372985185185184,10.375162962962962,10.372977777777777,10.375155555555555,NA
PARA,2024-12-30,10.276247516587476,10.281275519753578,10.271474449856145,10.276414784388665,NA
PARA,2024-12-31,NA,NA,NA,NA,NA
PATH,2024-12-16,NA,NA,NA,NA,NA
PATH,2024-12-17,NA,NA,NA,NA,NA
PATH,2024-12-18,NA,NA,NA,NA,NA
PATH,2024-12-19,NA,NA,NA,NA,NA
PATH,2024-12-20,NA,NA,NA,NA,NA
PATH,2024-12-21,13.3325625,13.334704166666667,13.323758333333334,13.3299625,NA
PATH,2024-12-23,NA,NA,NA,NA,NA
PATH,2024-12-24,NA,NA,NA,NA,NA
PATH,2024-12-26,NA,NA,NA,NA,NA
PATH,2024-12-27,NA,NA,NA,NA,NA
PATH,2024-12-28,12.9236375,12.925720833333333,12.9203875,12.922470833333334,NA
PATH,2024-12-30,12.742445758432646,12.749914213983697,12.734532998184363,12.74143628899494,NA
PATH,2024-12-31,12.709026951563407,12.714738553994389,12.702458716069238,12.70886079659004,NA
PBR,2024-12-14,13.66696,13.66746,13.666915,13.667415,NA
PBR,2024-12-16,NA,NA,NA,NA,NA
PBR,2024-12-17,NA,NA,NA,NA,NA
PBR,2024-12-18,NA,NA,NA,NA,NA
PBR,2024-12-19,NA,NA,NA,NA,NA
PBR,2024-12-20,NA,NA,NA,NA,NA
PBR,2024-12-21,13.083076923076923,13.089961538461539,13.0815,13.086076923076924,0
PBR,2024-12-23,NA,NA,NA,NA,NA
PBR,2024-12-24,NA,NA,NA,NA,NA
PBR,2024-12-26,13.061630475583398,13.067492029673344,13.056566210442977,13.062588219654208,NA
PBR,2024-12-27,12.657560600471497,12.662240520928123,12.651985096842592,12.657323864267088,NA
PBR,2024-12-28,12.6255875,12.627493750000001,12.62495625,12.626546875,NA
PBR,2024-12-30,12.731113729500493,12.73632927998186,12.725703808028378,12.730890421447382,NA
PBR,2024-12-31,NA,NA,NA,NA,NA
PBR-A,2024-12-14,12.6735375,12.6735375,12.6735375,12.6735375,NA
PBR-A,2024-12-16,NA,NA,NA,NA,NA
PBR-A,2024-12-17,NA,NA,NA,NA,NA
PBR-A,2024-12-18,NA,NA,NA,NA,NA
